id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
60,3.005000e-07,-6.652022e-02,8.786619e-03,-3.286836e-01,9.803878e-01,-3.130329e-04,-1.970777e-01,1.000000e+00
61,3.005000e-07,1.857451e-01,3.368419e-03,-2.788759e-01,8.306693e-01,-2.015029e-04,5.567661e-01,1.000000e+00
62,3.005000e-07,-1.853158e-01,1.102033e-02,-2.794138e-01,8.325245e-01,-3.598377e-04,-5.539881e-01,1.000000e+00
63,3.005000e-07,3.310924e-02,6.107680e-03,-3.337165e-01,9.949022e-01,-2.624241e-04,1.008439e-01,1.000000e+00
64,3.005000e-07,2.927885e-01,8.666334e-04,-1.624974e-01,4.828606e-01,-1.418734e-04,8.756972e-01,1.000000e+00
65,3.005000e-07,2.987705e-01,7.088034e-04,-1.505056e-01,4.467264e-01,-1.374408e-04,8.946706e-01,1.000000e+00
66,3.005000e-07,1.786701e-01,3.356177e-03,-2.836749e-01,8.453025e-01,-2.022941e-04,5.342879e-01,1.000000e+00
67,3.005000e-07,3.319558e-01,-8.100891e-04,-3.769405e-02,1.095045e-01,-9.642934e-05,9.939863e-01,1.000000e+00
68,3.005000e-07,3.105726e-01,6.030537e-05,-1.234323e-01,3.663081e-01,-1.226761e-04,9.304936e-01,1.000000e+00
69,3.005000e-07,-1.735057e-01,1.104041e-02,-2.869807e-01,8.556534e-01,-3.580098e-04,-5.175491e-01,1.000000e+00
70,3.005000e-07,-2.280498e-02,7.569184e-03,-3.344705e-01,9.977043e-01,-2.905989e-04,-6.772077e-02,1.000000e+00
71,3.005000e-07,-2.450121e-01,1.326313e-02,-2.289152e-01,6.810759e-01,-3.986392e-04,-7.322127e-01,1.000000e+00
72,3.005000e-07,-6.324013e-02,8.039304e-03,-3.293253e-01,9.819515e-01,-3.024248e-04,-1.891326e-01,1.000000e+00
73,3.005000e-07,-2.510014e-02,7.537951e-03,-3.343549e-01,9.972846e-01,-2.906132e-04,-7.364398e-02,1.000000e+00
74,3.005000e-07,2.390092e-01,2.279672e-03,-2.345343e-01,6.981689e-01,-1.752135e-04,7.159330e-01,1.000000e+00
75,3.005000e-07,-8.571325e-02,8.812364e-03,-3.242648e-01,9.668228e-01,-3.163316e-04,-2.554476e-01,1.000000e+00
76,3.005000e-07,-1.956360e-01,1.208065e-02,-2.725317e-01,8.123843e-01,-3.748255e-04,-5.831222e-01,9.999999e-01
77,3.005000e-07,-2.104044e-02,6.659403e-03,-3.348777e-01,9.979699e-01,-2.777614e-04,-6.368678e-02,1.000000e+00
78,3.005000e-07,-3.955405e-02,7.741574e-03,-3.328954e-01,9.930439e-01,-2.945916e-04,-1.177447e-01,1.000000e+00
79,3.005000e-07,1.258847e-01,4.327756e-03,-3.108978e-01,9.264290e-01,-2.246468e-04,3.764694e-01,1.000000e+00
80,3.005000e-07,-2.464511e-01,1.317113e-02,-2.273036e-01,6.766914e-01,-3.980465e-04,-7.362667e-01,1.000000e+00
81,3.005000e-07,3.336008e-01,-1.393040e-03,5.749614e-03,-2.053642e-02,-8.079765e-05,9.997891e-01,1.000000e+00
82,3.005000e-07,2.886213e-01,1.187482e-03,-1.685204e-01,5.010722e-01,-1.469174e-04,8.654055e-01,1.000000e+00
83,3.005000e-07,1.663967e-01,3.906106e-03,-2.906030e-01,8.660440e-01,-2.120524e-04,4.999677e-01,1.000000e+00
84,3.005000e-07,3.158116e-01,7.524091e-05,-1.110647e-01,3.292196e-01,-1.213057e-04,9.442534e-01,1.000000e+00
85,3.005000e-07,-1.469842e-01,1.010242e-02,-3.015600e-01,8.988316e-01,-3.414118e-04,-4.382941e-01,1.000000e+00
86,3.005000e-07,2.404853e-01,2.287531e-03,-2.330082e-01,6.933061e-01,-1.753667e-04,7.206432e-01,1.000000e+00
87,3.005000e-07,-7.974744e-02,8.796096e-03,-3.258137e-01,9.714560e-01,-3.148439e-04,-2.372194e-01,1.000000e+00
88,3.005000e-07,1.409843e-04,7.075826e-03,-3.352747e-01,9.999960e-01,-2.807592e-04,2.817068e-03,1.000000e+00
89,3.005000e-07,-7.912214e-02,8.157434e-03,-3.259955e-01,9.714224e-01,-3.061432e-04,-2.373573e-01,1.000000e+00
90,3.005000e-07,-1.898758e-01,1.127141e-02,-2.763494e-01,8.233513e-01,-3.638070e-04,-5.675320e-01,1.000000e+00
91,3.005000e-07,3.329071e-01,-5.158572e-03,2.691124e-02,-8.415059e-02,-1.743545e-05,9.964530e-01,1.000000e+00
92,3.005000e-07,1.663782e-02,6.113008e-03,-3.351202e-01,9.987655e-01,-2.652449e-04,4.967336e-02,1.000000e+00
93,3.005000e-07,3.342954e-01,-1.508381e-03,-3.843240e-04,-2.495288e-03,-8.008357e-05,9.999969e-01,1.000000e+00
94,3.005000e-07,-1.194765e-01,9.450488e-03,-3.134732e-01,9.339776e-01,-3.295328e-04,-3.573314e-01,1.000000e+00
95,3.005000e-07,1.480908e-01,4.223205e-03,-3.007014e-01,8.963144e-01,-2.202009e-04,4.434191e-01,1.000000e+00
96,3.005000e-07,1.453249e-01,3.964519e-03,-3.022887e-01,9.004716e-01,-2.160680e-04,4.349147e-01,1.000000e+00
97,3.005000e-07,3.320896e-01,-7.372801e-04,-3.719895e-02,1.080542e-01,-9.790921e-05,9.941450e-01,1.000000e+00
98,3.005000e-07,-3.063385e-02,7.662743e-03,-3.337948e-01,9.958344e-01,-2.927678e-04,-9.118006e-02,1.000000e+00
99,3.005000e-07,-1.093318e-01,9.129685e-03,-3.169172e-01,9.452054e-01,-3.231287e-04,-3.264760e-01,1.000000e+00
100,3.005000e-07,1.158443e-01,4.474155e-03,-3.145639e-01,9.379124e-01,-2.278029e-04,3.468721e-01,1.000000e+00
101,3.005000e-07,-1.509759e-01,1.103656e-02,-2.993588e-01,8.925171e-01,-3.552870e-04,-4.510135e-01,1.000000e+00
102,3.005000e-07,3.267254e-01,-4.208363e-04,-7.105486e-02,2.096204e-01,-1.080410e-04,9.777828e-01,1.000000e+00
103,3.005000e-07,9.249754e-02,5.027823e-03,-3.222020e-01,9.605287e-01,-2.390946e-04,2.781810e-01,1.000000e+00
104,3.005000e-07,-1.229791e-01,9.923067e-03,-3.120127e-01,9.305045e-01,-3.360033e-04,-3.662803e-01,1.000000e+00
105,3.005000e-07,3.339683e-01,-1.382744e-03,1.500835e-03,-7.555165e-03,-8.128038e-05,9.999715e-01,1.000000e+00
106,3.005000e-07,2.381870e-01,2.309555e-03,-2.354435e-01,7.009393e-01,-1.764811e-04,7.132209e-01,1.000000e+00
107,3.005000e-07,1.052450e-02,7.411450e-03,-3.349940e-01,9.994759e-01,-2.848476e-04,3.237173e-02,1.000000e+00
108,3.005000e-07,3.339229e-01,-1.141555e-03,-1.622172e-02,4.545469e-02,-8.790844e-05,9.989664e-01,1.000000e+00
109,3.005000e-07,3.204481e-01,-2.224297e-04,-9.594088e-02,2.830292e-01,-1.140879e-04,9.591113e-01,1.000000e+00
110,3.005000e-07,2.330643e-01,2.281242e-03,-2.402920e-01,7.153606e-01,-1.766580e-04,6.987554e-01,1.000000e+00
111,3.005000e-07,2.492110e-01,1.980797e-03,-2.238749e-01,6.667639e-01,-1.692089e-04,7.452690e-01,1.000000e+00
112,3.005000e-07,1.842446e-01,3.188519e-03,-2.800247e-01,8.341258e-01,-1.990233e-04,5.515741e-01,9.999999e-01
113,3.005000e-07,-1.947763e-01,1.185028e-02,-2.732018e-01,8.138311e-01,-3.721392e-04,-5.811013e-01,1.000000e+00
114,3.005000e-07,3.160609e-02,6.285729e-03,-3.338775e-01,9.954546e-01,-2.656568e-04,9.523732e-02,1.000000e+00
115,3.005000e-07,1.952573e-02,6.373308e-03,-3.348243e-01,9.983131e-01,-2.682160e-04,5.805868e-02,1.000000e+00
116,3.005000e-07,-2.275259e-01,1.232582e-02,-2.464525e-01,7.336858e-01,-3.836312e-04,-6.794887e-01,9.999999e-01
117,3.005000e-07,3.240279e-01,-2.645922e-04,-8.237218e-02,2.433147e-01,-1.112963e-04,9.699474e-01,1.000000e+00
118,3.005000e-07,-7.882034e-02,8.553787e-03,-3.262401e-01,9.723999e-01,-3.117372e-04,-2.333200e-01,9.999999e-01
119,3.005000e-07,2.863985e-01,1.179859e-03,-1.736499e-01,5.165068e-01,-1.485224e-04,8.562830e-01,9.999999e-01
120,3.005000e-07,1.580743e-01,4.056568e-03,-2.954448e-01,8.804287e-01,-2.156927e-04,4.741785e-01,1.000000e+00
121,3.005000e-07,1.558569e-01,3.942635e-03,-2.967573e-01,8.845678e-01,-2.145794e-04,4.664115e-01,1.000000e+00
122,3.005000e-07,-2.469323e-02,7.315180e-03,-3.345635e-01,9.972249e-01,-2.874541e-04,-7.444778e-02,1.000000e+00
123,3.005000e-07,6.403423e-02,5.330563e-03,-3.294473e-01,9.814077e-01,-2.479022e-04,1.919343e-01,1.000000e+00
124,3.005000e-07,2.094171e-01,2.922551e-03,-2.613945e-01,7.784170e-01,-1.904614e-04,6.277476e-01,1.000000e+00
125,3.005000e-07,3.070719e-01,4.004102e-04,-1.326892e-01,3.937471e-01,-1.300929e-04,9.192188e-01,1.000000e+00
126,3.005000e-07,-2.535975e-01,1.435618e-02,-2.188380e-01,6.518741e-01,-4.150002e-04,-7.583271e-01,1.000000e+00
127,3.005000e-07,3.331498e-01,-1.510782e-03,2.638833e-02,-8.165817e-02,-7.645897e-05,9.966604e-01,1.000000e+00
128,3.005000e-07,-1.736518e-01,1.109471e-02,-2.867504e-01,8.547299e-01,-3.592993e-04,-5.190728e-01,1.000000e+00
129,3.005000e-07,8.836023e-02,5.429280e-03,-3.234816e-01,9.640609e-01,-2.453538e-04,2.656812e-01,1.000000e+00
130,3.005000e-07,3.313215e-01,-5.541218e-04,-4.624507e-02,1.354927e-01,-1.024877e-04,9.907783e-01,1.000000e+00
131,3.005000e-07,2.070876e-01,2.751634e-03,-2.634859e-01,7.850265e-01,-1.885670e-04,6.194621e-01,1.000000e+00
132,3.005000e-07,-2.697843e-01,1.376712e-02,-1.993707e-01,5.925881e-01,-4.099737e-04,-8.055055e-01,1.000000e+00
133,3.005000e-07,2.526134e-01,1.715168e-03,-2.197466e-01,6.536466e-01,-1.639706e-04,7.567999e-01,1.000000e+00
134,3.005000e-07,3.301712e-01,-8.497387e-04,-5.216239e-02,1.528279e-01,-9.794356e-05,9.882528e-01,1.000000e+00
135,3.005000e-07,2.872537e-01,8.128188e-04,-1.725857e-01,5.125505e-01,-1.427903e-04,8.586571e-01,1.000000e+00
136,3.005000e-07,-2.199761e-01,1.293662e-02,-2.530689e-01,7.543552e-01,-3.908387e-04,-6.564664e-01,1.000000e+00
137,3.005000e-07,-7.308662e-02,8.033061e-03,-3.272489e-01,9.756239e-01,-3.033538e-04,-2.194490e-01,1.000000e+00
138,3.005000e-07,-1.260488e-01,9.610041e-03,-3.105904e-01,9.260929e-01,-3.322607e-04,-3.772953e-01,1.000000e+00
139,3.005000e-07,2.565972e-01,1.502357e-03,-2.157433e-01,6.417457e-01,-1.601623e-04,7.669175e-01,1.000000e+00
140,3.005000e-07,-1.672751e-01,1.101061e-02,-2.905987e-01,8.663085e-01,-3.572892e-04,-4.995092e-01,1.000000e+00
141,3.005000e-07,3.330164e-01,-8.171748e-03,2.445386e-02,-7.674214e-02,3.369895e-05,9.970510e-01,1.000000e+00
142,3.005000e-07,3.201176e-01,6.028999e-05,-9.646311e-02,2.853047e-01,-1.192662e-04,9.584369e-01,1.000000e+00
143,3.005000e-07,1.134788e-01,4.648253e-03,-3.154467e-01,9.404348e-01,-2.301972e-04,3.399741e-01,1.000000e+00
144,3.005000e-07,3.335338e-01,-1.516671e-02,2.423697e-02,-7.523430e-02,1.587468e-04,9.971659e-01,1.000000e+00
145,3.005000e-07,-1.667952e-01,1.070850e-02,-2.907016e-01,8.667229e-01,-3.527184e-04,-4.987898e-01,1.000000e+00
146,3.005000e-07,3.285899e-02,6.405401e-03,-3.336269e-01,9.950806e-01,-2.672557e-04,9.906860e-02,1.000000e+00
147,3.005000e-07,-9.322384e-02,8.685898e-03,-3.222572e-01,9.602634e-01,-3.149964e-04,-2.790952e-01,1.000000e+00
148,3.005000e-07,3.338129e-01,-1.345886e-03,2.919101e-03,-1.212653e-02,-8.207783e-05,9.999265e-01,1.000000e+00
149,3.005000e-07,3.335921e-01,-9.881174e-04,-2.297323e-02,6.559050e-02,-9.193441e-05,9.978466e-01,1.000000e+00
150,3.005000e-07,2.617849e-01,1.528132e-03,-2.087671e-01,6.207204e-01,-1.594871e-04,7.840320e-01,1.000000e+00
151,3.005000e-07,-1.539479e-01,1.121067e-02,-2.977403e-01,8.883027e-01,-3.582469e-04,-4.592583e-01,1.000000e+00
152,3.005000e-07,4.449239e-02,6.002965e-03,-3.324320e-01,9.909906e-01,-2.594857e-04,1.339309e-01,1.000000e+00
153,3.005000e-07,2.408605e-01,1.935206e-03,-2.326279e-01,6.924855e-01,-1.698512e-04,7.214317e-01,9.999999e-01
154,3.005000e-07,1.016072e-01,5.104248e-03,-3.193529e-01,9.523899e-01,-2.388134e-04,3.048826e-01,1.000000e+00
155,3.005000e-07,2.972673e-01,4.773680e-04,-1.545950e-01,4.588606e-01,-1.345496e-04,8.885083e-01,1.000000e+00
156,3.005000e-07,-2.583439e-01,1.401125e-02,-2.140299e-01,6.369309e-01,-4.113910e-04,-7.709208e-01,1.000000e+00
